"GEE_WRS_tile","Atmos_ARD_tile","DATE","h","v","PATH","ROW"
"LC09_047031_20211124",NA,20211124,"000","004",47,31
"LC09_047030_20211124",NA,20211124,"000","004",47,30
"LC09_046030_20211109",NA,20211109,"001","004",46,30
"LC09_043035_20211111",NA,20211111,"001","009",43,35
"LC09_042036_20211101",NA,20211101,"001","011",42,36
"LC09_046032_20211119",NA,20211119,"002","007",46,32
"LC09_042035_20211101",NA,20211101,"002","009",42,35
"LC09_042034_20211101",NA,20211101,"002","009",42,34
"LC09_043035_20211116",NA,20211116,"002","011",43,35
"LC09_046030_20211119",NA,20211119,"003","005",46,30
"LC09_042032_20211101",NA,20211101,"003","007",42,32
"LC09_045032_20211104",NA,20211104,"003","007",45,32
"LC09_042032_20220113",NA,20220113,"003","007",42,32
"LC09_042032_20220302",NA,20220302,"003","007",42,32
"LC09_043033_20211116",NA,20211116,"003","009",43,33
"LC09_043034_20211116",NA,20211116,"003","009",43,34
"LC09_043034_20211116",NA,20211116,"003","010",43,34
"LC09_043035_20211116",NA,20211116,"003","010",43,35
"LC09_043034_20211121",NA,20211121,"003","010",43,34
"LC09_043035_20211121",NA,20211121,"003","010",43,35
"LC09_045029_20211104",NA,20211104,"004","005",45,29
"LC09_043032_20211116",NA,20211116,"004","007",43,32
"LC09_043031_20211116",NA,20211116,"004","007",43,31
"LC09_043033_20211116",NA,20211116,"004","008",43,33
"LC09_043032_20211116",NA,20211116,"004","008",43,32
"LC09_040034_20211113",NA,20211113,"004","009",40,34
"LC09_043030_20211116",NA,20211116,"005","005",43,30
"LC09_043029_20211116",NA,20211116,"005","005",43,29
"LC09_043030_20211116",NA,20211116,"005","006",43,30
"LC09_043031_20211116",NA,20211116,"005","006",43,31
"LC09_043031_20211121",NA,20211121,"005","006",43,31
"LC09_040032_20211113",NA,20211113,"005","007",40,32
"LC09_039034_20211103",NA,20211103,"005","009",39,34
"LC09_040036_20211123",NA,20211123,"005","012",40,36
"LC09_037038_20211115",NA,20211115,"005","014",37,38
"LC09_037038_20211115",NA,20211115,"005","015",37,38
"LC09_043028_20211116",NA,20211116,"006","003",43,28
"LC09_043028_20211116",NA,20211116,"006","004",43,28
"LC09_043029_20211116",NA,20211116,"006","004",43,29
"LC09_040030_20211113",NA,20211113,"006","005",40,30
"LC09_040034_20211123",NA,20211123,"006","010",40,34
"LC09_037036_20211115",NA,20211115,"006","011",37,36
"LC09_037035_20211120",NA,20211120,"006","011",37,35
"LC09_037036_20211120",NA,20211120,"006","011",37,36
"LC09_037036_20220227",NA,20220227,"006","011",37,36
"LC09_037035_20220227",NA,20220227,"006","011",37,35
"LC09_037037_20211115",NA,20211115,"006","012",37,37
"LC09_037036_20211115",NA,20211115,"006","012",37,36
"LC09_040027_20211113",NA,20211113,"007","003",40,27
