"GEE_WRS_tile","Atmos_ARD_tile","DATE","h","v","PATH","ROW"
"LC08_043035_20170506",NA,20170506,"001","009",43,35
"LC08_043035_20190917",NA,20190917,"001","009",43,35
"LC08_043035_20191003",NA,20191003,"001","009",43,35
"LC08_043036_20190917",NA,20190917,"001","010",43,36
"LC08_043035_20190917",NA,20190917,"001","010",43,35
"LC08_043036_20191003",NA,20191003,"001","010",43,36
"LC08_043035_20191003",NA,20191003,"001","010",43,35
"LC08_043036_20190917",NA,20190917,"001","011",43,36
"LC08_042036_20190926",NA,20190926,"001","011",42,36
"LC08_043036_20191003",NA,20191003,"001","011",43,36
"LC08_043036_20190917",NA,20190917,"001","012",43,36
"LC08_042036_20190926",NA,20190926,"001","012",42,36
"LC08_043036_20191003",NA,20191003,"001","012",43,36
"LC08_043033_20190917",NA,20190917,"002","008",43,33
"LC08_043034_20190917",NA,20190917,"002","008",43,34
"LC08_043033_20191003",NA,20191003,"002","008",43,33
"LC08_043034_20191003",NA,20191003,"002","008",43,34
"LC08_042035_20180721",NA,20180721,"002","009",42,35
"LC08_042034_20180721",NA,20180721,"002","009",42,34
"LC08_043035_20190917",NA,20190917,"002","009",43,35
"LC08_043034_20190917",NA,20190917,"002","009",43,34
"LC08_043033_20190917",NA,20190917,"002","009",43,33
"LC08_042035_20190926",NA,20190926,"002","009",42,35
"LC08_042034_20190926",NA,20190926,"002","009",42,34
"LC08_043034_20191003",NA,20191003,"002","009",43,34
"LC08_043033_20191003",NA,20191003,"002","009",43,33
"LC08_043035_20191003",NA,20191003,"002","009",43,35
"LC08_042034_20200811",NA,20200811,"002","009",42,34
"LC08_042035_20200811",NA,20200811,"002","009",42,35
"LC08_043036_20190917",NA,20190917,"002","010",43,36
"LC08_043034_20190917",NA,20190917,"002","010",43,34
"LC08_043035_20190917",NA,20190917,"002","010",43,35
"LC08_042035_20190926",NA,20190926,"002","010",42,35
"LC08_042034_20190926",NA,20190926,"002","010",42,34
"LC08_042036_20190926",NA,20190926,"002","010",42,36
"LC08_043036_20191003",NA,20191003,"002","010",43,36
"LC08_043034_20191003",NA,20191003,"002","010",43,34
"LC08_043035_20191003",NA,20191003,"002","010",43,35
"LC08_041036_20160622",NA,20160622,"002","011",41,36
"LC08_041036_20160809",NA,20160809,"002","011",41,36
"LC08_041036_20170508",NA,20170508,"002","011",41,36
"LC08_041036_20170711",NA,20170711,"002","011",41,36
"LC08_041036_20180612",NA,20180612,"002","011",41,36
"LC08_041036_20180730",NA,20180730,"002","011",41,36
"LC08_041036_20180916",NA,20180916,"002","011",41,36
"LC08_041036_20190717",NA,20190717,"002","011",41,36
"LC08_043036_20190917",NA,20190917,"002","011",43,36
"LC08_043035_20190917",NA,20190917,"002","011",43,35
"LC08_042035_20190926",NA,20190926,"002","011",42,35
"LC08_042036_20190926",NA,20190926,"002","011",42,36
"LC08_043036_20191003",NA,20191003,"002","011",43,36
"LC08_043035_20191003",NA,20191003,"002","011",43,35
"LC08_041036_20191005",NA,20191005,"002","011",41,36
"LC08_041036_20200804",NA,20200804,"002","011",41,36
"LC08_041036_20200820",NA,20200820,"002","011",41,36
"LC08_043036_20190917",NA,20190917,"002","012",43,36
"LC08_042036_20190926",NA,20190926,"002","012",42,36
"LC08_043036_20191003",NA,20191003,"002","012",43,36
"LC08_041037_20191005",NA,20191005,"002","012",41,37
"LC08_041036_20191005",NA,20191005,"002","012",41,36
"LC08_041037_20191005",NA,20191005,"002","013",41,37
"LC08_043032_20190917",NA,20190917,"003","006",43,32
"LC08_043031_20190917",NA,20190917,"003","006",43,31
"LC08_043032_20191003",NA,20191003,"003","006",43,32
"LC08_043031_20191003",NA,20191003,"003","006",43,31
"LC08_042032_20160512",NA,20160512,"003","007",42,32
"LC08_042032_20160528",NA,20160528,"003","007",42,32
"LC08_042032_20160613",NA,20160613,"003","007",42,32
"LC08_042032_20160629",NA,20160629,"003","007",42,32
"LC08_042032_20160715",NA,20160715,"003","007",42,32
"LC08_042032_20160731",NA,20160731,"003","007",42,32
"LC08_042032_20160816",NA,20160816,"003","007",42,32
"LC08_042032_20160901",NA,20160901,"003","007",42,32
"LC08_042032_20160917",NA,20160917,"003","007",42,32
"LC08_042032_20161003",NA,20161003,"003","007",42,32
"LC08_042032_20161222",NA,20161222,"003","007",42,32
"LC08_042032_20170429",NA,20170429,"003","007",42,32
"LC08_042032_20170515",NA,20170515,"003","007",42,32
"LC08_042032_20170531",NA,20170531,"003","007",42,32
"LC08_042032_20170616",NA,20170616,"003","007",42,32
"LC08_042032_20170702",NA,20170702,"003","007",42,32
"LC08_042032_20170718",NA,20170718,"003","007",42,32
"LC08_042032_20170803",NA,20170803,"003","007",42,32
"LC08_042032_20170819",NA,20170819,"003","007",42,32
"LC08_042032_20170904",NA,20170904,"003","007",42,32
"LC08_042032_20170920",NA,20170920,"003","007",42,32
"LC08_042032_20171123",NA,20171123,"003","007",42,32
"LC08_042032_20171209",NA,20171209,"003","007",42,32
"LC08_042032_20180126",NA,20180126,"003","007",42,32
"LC08_042032_20180211",NA,20180211,"003","007",42,32
"LC08_042032_20180227",NA,20180227,"003","007",42,32
"LC08_042032_20180315",NA,20180315,"003","007",42,32
"LC08_042032_20180603",NA,20180603,"003","007",42,32
"LC08_042032_20180619",NA,20180619,"003","007",42,32
"LC08_042032_20180705",NA,20180705,"003","007",42,32
"LC08_042032_20180721",NA,20180721,"003","007",42,32
"LC08_042032_20180806",NA,20180806,"003","007",42,32
"LC08_042032_20180822",NA,20180822,"003","007",42,32
"LC08_042032_20180907",NA,20180907,"003","007",42,32
"LC08_042032_20180923",NA,20180923,"003","007",42,32
"LC08_042032_20181009",NA,20181009,"003","007",42,32
"LC08_042032_20181025",NA,20181025,"003","007",42,32
"LC08_042032_20181110",NA,20181110,"003","007",42,32
"LC08_042032_20181126",NA,20181126,"003","007",42,32
"LC08_042032_20181212",NA,20181212,"003","007",42,32
"LC08_042032_20181228",NA,20181228,"003","007",42,32
"LC08_042032_20190113",NA,20190113,"003","007",42,32
"LC08_042032_20190129",NA,20190129,"003","007",42,32
"LC08_042032_20190318",NA,20190318,"003","007",42,32
"LC08_042032_20190505",NA,20190505,"003","007",42,32
"LC08_042032_20190521",NA,20190521,"003","007",42,32
"LC08_042032_20190606",NA,20190606,"003","007",42,32
"LC08_042032_20190622",NA,20190622,"003","007",42,32
"LC08_042032_20190708",NA,20190708,"003","007",42,32
"LC08_042032_20190724",NA,20190724,"003","007",42,32
"LC08_042032_20190809",NA,20190809,"003","007",42,32
"LC08_042032_20190825",NA,20190825,"003","007",42,32
"LC08_042032_20190910",NA,20190910,"003","007",42,32
"LC08_043032_20190917",NA,20190917,"003","007",43,32
"LC08_043031_20190917",NA,20190917,"003","007",43,31
"LC08_043033_20190917",NA,20190917,"003","007",43,33
"LC08_042032_20190926",NA,20190926,"003","007",42,32
"LC08_043032_20191003",NA,20191003,"003","007",43,32
"LC08_043033_20191003",NA,20191003,"003","007",43,33
"LC08_043031_20191003",NA,20191003,"003","007",43,31
"LC08_042032_20191012",NA,20191012,"003","007",42,32
"LC08_042032_20191028",NA,20191028,"003","007",42,32
"LC08_042032_20191113",NA,20191113,"003","007",42,32
"LC08_042032_20191215",NA,20191215,"003","007",42,32
"LC08_042032_20191231",NA,20191231,"003","007",42,32
"LC08_042032_20200116",NA,20200116,"003","007",42,32
"LC08_042032_20200201",NA,20200201,"003","007",42,32
"LC08_042032_20200217",NA,20200217,"003","007",42,32
"LC08_042032_20200304",NA,20200304,"003","007",42,32
"LC08_042032_20200523",NA,20200523,"003","007",42,32
"LC08_042032_20200608",NA,20200608,"003","007",42,32
"LC08_042032_20200624",NA,20200624,"003","007",42,32
"LC08_042032_20200710",NA,20200710,"003","007",42,32
"LC08_042032_20200726",NA,20200726,"003","007",42,32
"LC08_042032_20200811",NA,20200811,"003","007",42,32
"LC08_042032_20200827",NA,20200827,"003","007",42,32
"LC08_042032_20200912",NA,20200912,"003","007",42,32
"LC08_042032_20200928",NA,20200928,"003","007",42,32
"LC08_042032_20201014",NA,20201014,"003","007",42,32
"LC08_042032_20201030",NA,20201030,"003","007",42,32
"LC08_042032_20201115",NA,20201115,"003","007",42,32
"LC08_042032_20201201",NA,20201201,"003","007",42,32
"LC08_042032_20210102",NA,20210102,"003","007",42,32
"LC08_042032_20210118",NA,20210118,"003","007",42,32
"LC08_042032_20210203",NA,20210203,"003","007",42,32
"LC08_042032_20210219",NA,20210219,"003","007",42,32
"LC08_042032_20210307",NA,20210307,"003","007",42,32
"LC08_042032_20210323",NA,20210323,"003","007",42,32
"LC08_042032_20210510",NA,20210510,"003","007",42,32
"LC08_042032_20210627",NA,20210627,"003","007",42,32
"LC08_042032_20210713",NA,20210713,"003","007",42,32
"LC08_042032_20210729",NA,20210729,"003","007",42,32
"LC08_042032_20210814",NA,20210814,"003","007",42,32
