system:index,CLOUD_COVER
LC08_009029_20170116,16.42
LC08_009029_20171031,14.3
LC08_009029_20171218,99.07
LC08_009029_20180103,38.0
LC08_009029_20180409,32.32
LC08_009029_20180425,96.8
LC08_009029_20180511,41.76
LC08_009029_20180527,5.24
LC08_009029_20190412,10.0
LC08_009029_20200329,55.85
LC08_009029_20200414,0.36
LC08_009029_20200430,6.94
LC08_009029_20210503,6.29
LC08_009029_20220420,35.84
LC08_009029_20220623,2.34
LC08_010028_20160512,10.69
LC08_010028_20160528,77.94
LC08_010028_20160715,49.65
LC08_010028_20160731,48.31
LC08_010028_20160816,50.57
LC08_010028_20160901,68.13
LC08_010028_20160917,30.54
LC08_010028_20161003,84.6
LC08_010028_20161019,17.37
LC08_010028_20161206,53.08
LC08_010028_20170107,18.32
LC08_010028_20170123,14.32
LC08_010028_20170224,35.68
LC08_010028_20170312,33.84
LC08_010028_20170616,100.0
LC08_010028_20170702,62.71
LC08_010028_20170718,82.31
LC08_010028_20170803,65.0
LC08_010028_20170920,70.78
LC08_010028_20171006,53.26
LC08_010028_20171022,7.54
LC08_010028_20171107,86.48
LC08_010028_20171123,54.65
LC08_010028_20171209,97.5
LC08_010028_20180110,1.47
LC08_010028_20180126,4.49
LC08_010028_20180227,10.18
LC08_010028_20180331,0.74
LC08_010028_20180502,20.15
LC08_010028_20180518,0.01
LC08_010028_20180603,12.86
LC08_010028_20180619,67.95
LC08_010028_20180705,7.75
LC08_010028_20180721,1.98
LC08_010028_20180806,20.83
LC08_010028_20180907,4.86
LC08_010028_20180923,28.85
LC08_010028_20181126,22.83
LC08_010028_20181212,30.35
LC08_010028_20190113,5.62
LC08_010028_20190129,43.44
LC08_010028_20190214,7.88
LC08_010028_20190302,29.48
LC08_010028_20190318,47.51
LC08_010028_20190505,23.05
LC08_010028_20190606,82.73
LC08_010028_20190622,54.93
LC08_010028_20190708,1.86
LC08_010028_20190724,26.6
LC08_010028_20190809,70.86
LC08_010028_20190825,0.25
LC08_010028_20190910,0.75
LC08_010028_20190926,20.14
LC08_010028_20191028,72.95
LC08_010028_20191113,37.32
LC08_010028_20191129,46.89
LC08_010028_20200116,99.96
LC08_010028_20200217,38.84
LC08_010028_20200421,6.2
LC08_010028_20200507,99.58
LC08_010028_20200523,0.05
LC08_010028_20200608,63.38
LC08_010028_20200624,28.11
LC08_010028_20200710,12.2
LC08_010028_20200811,35.2
LC08_010028_20200827,37.61
LC08_010028_20200912,0.74
LC08_010028_20201030,100.0
LC08_010028_20201115,3.61
LC08_010028_20210219,9.3
LC08_010028_20210307,3.04
LC08_010028_20210323,20.83
LC08_010028_20210408,94.17
LC08_010028_20210424,3.42
LC08_010028_20210510,27.79
LC08_010028_20210526,44.13
LC08_010028_20210611,74.86
LC08_010028_20210627,76.32
LC08_010028_20210713,51.27
LC08_010028_20210729,13.72
LC08_010028_20210814,24.63
LC08_010028_20211001,93.85
LC08_010028_20211102,13.53
LC08_010028_20211204,10.02
LC08_010028_20211220,34.05
LC08_010028_20220121,5.16
LC08_010028_20220206,1.02
LC08_010028_20220310,43.76
LC08_010028_20220411,20.79
LC08_010028_20220513,16.1
LC08_010028_20220529,1.72
LC08_010029_20160512,4.16
LC08_010029_20160528,35.15
LC08_010029_20160715,39.84
LC08_010029_20160731,71.62
LC08_010029_20160816,59.92
LC08_010029_20160901,76.55
LC08_010029_20160917,5.62
LC08_010029_20161003,65.66
